KEY;target;NON_CURRENT_ASSETS;tangible_fixed_assets;CURRENT_ASSETS;cash_other_liquid_assets;STOCKS;debtors_other_short_term;TOTAL_ASSETS;net_worth;NON_CURRENT_LIABILITIES;CURRENT_LIABILITIES;SUPPLIERS;TOTAL_LIABILITIES;OTHER_OPERATION_EXPENSES;ORDINARY_EBITDA;Non_Ordinary_Result;NET_OPERATION_RESULT;FINANCIAL_INCOMES;FINANCIAL_EXPENSES;FINANCIAL_RESULTS;BENEFITS_BEFORE_TAXES;COMPANIES_TAX;BANK_INDEBTEDNESS;GROSS_FINANCIAL_DEBT;Net_result;CLIENT_COLLECTING;REVENUES_VARIATION;Exercise_result;Income;other_operation_incomes;personnel_expenses;depreciation_provision;ROLLING_FUND
1;0;9766024;8498353;45752938;254026;149.22;18701339;55518962;16322574.83;4762421;34433966.17;156071;39196387.17;686587;1494051;0.463;1305394;0.05693;532366.556;773027.5009;773027.9639;201.88;5270956;5270956;772826.0839;3478449.054;-37322.7135;772826.0839;3302895;3302895;1122257;188657;11318971.83
2;0;12573364;12272798;3505143;1980755;0;0;16078507;15986707;0;91800;0.918;91800;42852;51444;0;-475017;0.02758;0;-475016.9724;-475016.9724;-466518;0;0;-8498.97242;0;4809.096;-8498.97242;94296;18;0;526461;3413343
3;0;19119676;1054956;9801435;2715333;2883271;4202831;28921111;19357829;162393;9400889;4046086;9563282;1667668;-3882039;-151253;-3937191;199881;205.218;-3737515.218;-3888768.218;-880723;9.06E-05;1754;-3008045.218;886797.341;6405.1147;-3008045.218;177427;24037791;2391798;55152;400546
4;0;16683436;16629973;122369281;27194599;5925481;0;139052717;72000495;9834503;57217719;51560747;67052222;16219118;37837323.52;321899;36780917.52;0.00844;1270300.95;35510616.58;35832515.58;1350037;0.215157896;15491475;34482478.58;0;236582.8439;34482478.58;87623275.52;21617148;33566834;1056406;65151562
5;0;337927241;156321212;212167901;4305164;85284982;122577755;550095142;251030369;83701283;215363490;151296981;299064773;54022063;453592913;-4173776;429814657;1145939;13594996.97;417365599;413191823;4220078;0.530948843;133284284;408971745;18386663.25;56019259.13;408971745;673308403;673308403;165693427;23778256;-3195589
6;0;657521;8755;78895;58952;0;5405;736416;717036;13974;5406;0;19380;22977;16429.58;0;13540.43;0.002;0;13540.432;13540.432;10934;0;0;2606.432;1221.53;1904.000007;2606.432;39420.29;99098;13.71;2889.15;73489
7;0;46820052;436617;151097922;1002987;89092274;1382334;197917974;86420928;26631526;84865520;56127981;111497046;17328414;120131824;116274;119995599.5;0.02531;398107.198;119597492.3;119713766.3;1192746;0.622514375;5379827;118521020.3;304113.48;10590540.62;118521020.3;163686872;163686872;26226634;136224.504;66232402
8;0;317360742;0;35170125;18477499;0;16692626;352530867;239845516;73991928;38693423;5524812;112685351;64011;90895.62;0;90895.62;39928189;0;40019084.62;40019084.62;316143;0;0;39702941.62;3939459.736;1657.500834;39702941.62;154906.62;148758;0;0;-3523298
9;0;1631;1617;424;266;0;122;2055;1793;40;222;0;262;372;876.2;-2;781.2;0;8.04;773.16;771.16;27;0.074735081;134;744.16;21.594;112.07946;744.16;1550.2;935;302;95;202
10;0;72430827;234027;28806131;20116576;65249;61471;101236958;85614794;0;15622164;15007454;15622164;1602878;4385400.24;0.07166;4385399.84;1447;0;4386846.84;4386846.912;0.5582;0;0;4386846.353;10081.244;139354.5261;4386846.353;8602131.24;73.81;2613853;0.4;13183967
11;0;29403229;2092669;9250363.38;6626291;2614977;9095.38;38653592.38;37905134;1879179;8262387.002;72435;748458.38;3676025;7951252.83;-6474745;7553645.72;53286;0;7606931.72;1132186.72;986015;0;0;146171.72;945.91952;434889.704;146171.72;14212081.83;11200757;2584804;397607.11;987976.3783
12;0;17611634;17611634;34733106;2933389;33.1;704076;52344740;44087458;0;8257282;1216522;8257282;626192;57589743;0;56710560;0.01905;0;56710560.02;56710560.02;106145;0;0;56604415.02;83080.968;4786618.074;56604415.02;67991734;67991734;9775799;879183;26475824
13;0;1757418;1303552;243546;137192;0;67367;2000964;1598977;157338;244649;0.102;401987;42827;30072;0;-86027;77191;36.12816;-8872.12816;-8872.12816;-17262;0.209208763;334.52;8389.87184;14618.639;67.5048;8389.87184;112508;277.38;39609;116099;-1103
14;0;666274;426274;3219157;304869;170467;0;3885431;2149584;0;1735847;1735847;1735847;7728973;21890080.88;-28149;21611349.88;0.00046;0;21611349.88;21583200.88;44377;0;0;21538823.88;0;-1091350.388;21538823.88;58991912.88;42619403;29372859;278731;1483310
15;0;3256068;43068;422207;0.491;0;13774;3678275;734033;0;2944242;0;2944242;0.583;0.66462;0;0.66462;2221;0;2221.66462;2221.66462;0.409;0;0;2221.25562;3291.986;0.072486722;2221.25562;1.24762;0;0;0;-2522035
16;0;9159884;8745872;1341461;944969;182518;44908;10501345;1060635.845;8450076;990633.155;0;9440709.155;420518;-456649;0;-766813;0.00099;612903.387;-1379716.386;-1379716.386;-18378;6590359;6590359;-1361338.386;10104.3;1693.57;-1361338.386;25975;991.91;62106;310164;350827.845
17;0;0.03;0;269.35;4.02;185.85;0;269.38;112.79;26.25;130.34;112.24;156.59;27.98;355.69;0.54;355.69;0;4.435;351.255;351.795;0.75;0.393208618;44.35;351.045;0;48.512314;351.045;515.54;515.54;131.87;0;139.01
18;0;53058456;53058456;13685852;2017762;1132536;0;66744308;537666;0;66206642;12977708;66206642;2387339;32531020.2;659064;32531020.2;0;0;32531020.2;33190084.2;0;0;0;33190084.2;0;-622908.7942;33190084.2;56628072.2;35883031;21709713;0;-52520790
19;0;234937;-130863;55676825;2307223;36293982;623677;55911762;30480727;0;25431035;9215239;25431035;4181194;30168199.88;0;30168199.88;0;1278553.758;28889646.12;28889646.12;0;0.51154026;15592119;28889646.12;63615.054;5996410.428;28889646.12;63320067.88;42565423;28970674;0;30245790
20;0;37110471;36842147;146939482;40144488;48691031;0;184049953;139888197;483352;43678404;43678404;44161756;12218173;186938910;0;182386252;100199;0;182486451;182486451;3199973;0;0;179286478;0;239009.6302;179286478;217281482;217281482;18124399;4552658;103261078
21;0;48;0;360.14;1.2;0;40.41;408.14;366.2;1.53;40.41;0;41.94;1.29;0.903;0;0.903;0;0;0.903;0.903;40.41;0;0;-39.507;8.52651;0.1638171;-39.507;2.193;0;0;0;319.73
22;0;744563651;390649102;126927093;87382497;856096;0;871490744;413554942;312712656;145223146;114064631;457935802;65179812;215794614.4;-271596;187157789.4;209173;32174510.54;155192451.9;154920855.9;12928066;0.827657929;342282027;141992789.9;0;36174683.28;141992789.9;372167523.4;327066162;91193097;28636825;-18296053
23;0;124772204;328695;591492653;4277177;617148;37097712;716264857;47566132;15567793;653130932;47827895;668698725;134216701;201384381.3;-1482382;201325544.9;4157933;0;205483477.9;204001095.9;4595801;0;0;199405294.9;5008191.12;35252831.15;199405294.9;366453546.3;268240794;30852464;58836.405;-61638279
24;0;48851115;48066107;101039966;28646544;2976129;0;149891081;79333812;33809657;36747612;34227687;70557269;14537214;199107950;-357186;198310552;0.60732;3596628.618;194713924;194356738;2266613;0.457933145;36329582;192090125;0;17630672.31;192090125;239222148;239222148;25576984;797398;64292354
25;0;4361722;4028167;967535;496713;42214;428608;5329257;1111692.744;0;4217564.256;10227;4217564.256;849024;-108368.52;0.02383;-482936.52;0.00553;0;-482936.5145;-482936.4906;-304289;0;0;-178647.4906;73720.576;29834.56025;-178647.4906;742153.24;4506679;1497.76;374568;-3250029.256
26;0;12160123;4816957;24364878;8833917;19885;0;36525001;13021548;299994;23203459;23203459;23503453;11801353;30976363;60143;30976363;0;33599.328;30942763.67;31002906.67;604582;0.023038275;299994;30398324.67;0;4684519.329;30398324.67;48095681;48095681;5317965;0;1161419
27;0;450674882;109011102;87980386;753181;1239176;0;538655268;498917242;2751326;36986700;369867;39738026;10089928;-2480743;-157573;-5839525;145792;158026.41;-5851759.41;-6009332.41;-9921847;0.003519319;1755849;3912514.59;0;-106924.4848;3912514.59;19093658;6224246;11484473;3358782;50993686
28;0;3160851;123357;217795402;10457454;159034683;48303265;220956253;67276169;58345;153621739;56317272;153680084;14003439;-6682093.64;0;-6725535.64;98184;5834.5;-6633186.14;-6633186.14;-7819638;0.000867246;58345;1186451.86;11882603.19;-73248.7468;1186451.86;7324874.68;109041628;3529.32;43442;64173663
29;0;121436728;120607826;7510346;4049274;3461012;60;128947074;114060883;14488558;397633;202792.83;14886191;37348317;73140567.72;1420776;64527159.72;0.0657;10.44;64527149.35;65947925.35;3337597;0.105206971;120;62610328.35;6.72;6504634.489;62610328.35;128550088.7;80605579;18061204;8613408;7112713
30;0;1848.24;1191.24;145.48;110.63;2.12;32.73;1993.72;172.81;1432.74;388.17;90.06;1820.91;177.03;276.8976;0.88;207.4176;0;127.97468;79.44292;80.32292;7.85;1103.23;1103.23;72.47292;6.2187;23.29499952;72.47292;771.3576;706.56;317.43;69.48;-242.69
31;0;1384439;684129;8837654;4039506;0;0;10222093;2361303.483;0;7860789.517;3219516;7860789.517;2494845;16226781;0;15808897;0.10131;0;15808897.1;15808897.1;0;0;0;15808897.1;0;1588230.475;15808897.1;22400994;22400994;3679368;417884;976864.483
32;0;194.84;176.12;3369.6;99.06;2435.15;26.73;3564.44;2475.54;297.39;791.51;406.98;1088.9;356.56;2039.78;-10.44;2008.36;0;31.1448;1977.2152;1966.7752;4.88;0.26210443;648.85;1961.8952;4.06296;41.523984;1961.8952;2883.61;2883.61;487.27;31.42;2578.09
33;0;5424099;4943289;22874076;2655844;19.78;0;28298175;1887331;0;26410844;5049865;26410844;5577076;43869314;0;43869313.53;0;2.275;43869311.26;43869311.26;1129623;0.231808835;43.75;42739688.26;0;2256644.576;42739688.26;55174684;55174684;5728294;0.4685;-3536768
34;0;700969051;700969051;28772714;17838219;0;1081826;729741765;394335941;13883522;321522302;98000124;335405824;5069474;542330;0;-11302532;0.01134;14903503.58;-26206035.57;-26206035.57;-701409;0.564088456;222440352;-25504626.57;245574.502;61252.9715;-25504626.57;17500849;51417887;11889045;11844862;-292749588
35;0;565820354;80890868;106280058;6560872;18215176;2918273;672100412;297330339;232068619;142701454;9439263;374770073;21082475;-25824386;0.00286;-29024920;10544582;21299127.65;-39779465.65;-39779465.64;-7978754;349166027;349166027;-31800711.64;615755.603;935452.579;-31800711.64;11270513;357671369;16012424;3200534;-36421396
36;0;178935;14439;5074789;556815;1918248;161.1;5253724;1501013;2361509;1391202;1220376;3752711;427774;15650676;0;15646835;176626;0;15823461;15823461;0.882;0;0;15823460.12;38.9862;1236988.031;15823460.12;16515194;16515194;436744;3841;3683587
37;0;1099342;830833;1162816;9391;760569;0;2262158;470528.864;444.83;1791184.306;268581;1791629.136;383.8;9753030.4;-1.02;9752957.13;0.7;138.23784;9752819.592;9752818.572;3813;1181.52;1181.52;9749005.572;0;479910.9454;9749005.572;10365247.2;184832964;611833;73.27;-628368.306
38;0;83825254;5917249;64961479;0;18654476;13416342;148786733;89359684;3075509;56351540;28118538;59427049;3744444;171005333;-1950799;165771115;0.22905;901215.48;164869899.7;162919100.7;1297648;0.18336833;16385736;161621452.7;2482023.27;7082452.488;161621452.7;246775348;246775348;72025571;5234218;8609939
39;0;244312758;244312758;459717593;397755903;1720451;60241239;704030351;164810012.7;3029479;536190859.3;8274864;539220338.3;14269221;595307105;0;589911121;8124903;0;598036024;598036024;88011878;0;0;510024146;12831383.91;10063826.88;510024146;986649694;986649694;377073368;5395984;-76473266.33
40;0;19337.49;12102.51;11685964;3043501;3022618;2139498;11705301.49;3300895.02;375566;8028840.47;614561;8404406.47;3843483;12132909.36;-32745;12128806.61;165093;27220.05;12266679.56;12233934.56;710918;0.008923952;247455;11523016.56;331622.19;-173186.6754;11523016.56;20617461.36;14487236;4641069;4102.75089;3657123.53
41;0;206.68;204.64;625.11;494.45;0;0;831.79;788.73;0;43.06;36.1704;43.06;118.5;726.27;-0.82;705.87;0.72;0;706.59;705.77;33.61;0;0;672.16;0;53.3273;672.16;1079.5;1079.5;234.73;20.4;582.05
42;0;19100396;19100396;11631997;9542271;2089726;0;30732393;17679179;7902505;5150709;2987411.22;13053214;599652;30118737.6;0;28439712.6;0.01151;394153.005;28045559.61;28045559.61;196519;0.220740171;3902505;27849040.61;0;1225725.053;27849040.61;57010467.6;37458146;26292078;1679025;6481288
43;1;6503286;6503286;9498359;2083938;0;71775;16001645;14799886;0;1201759;470679;1201759;0.029;1158595.942;251528;1158595.942;0;0.0278597;1158595.914;1410123.914;186596;0.000900683;0.1333;1223527.914;3875.85;-55844.3258;1223527.914;1158595.971;1161496;0;0;8296600
44;0;2453.32;500.51;1768.76;1335.24;0;91.59;4222.08;4024.02;0;198.06;106.49;198.06;664.8;1022.2725;9.23;923.2625;93.05;0;1016.3125;1025.5425;94.19;0;0;931.3525;19.05072;125.2283813;931.3525;2385.3025;1984.05;698.23;99.01;1570.7
45;0;70875497;39069261;111707926;1259353;0;0;182583423;30011242;36196631;116375550;97343992;152572181;61572007;63158467.68;-2199714;62620603.68;0;4860080.632;57760523.05;55560809.05;936594;55228189;55228189;54624215.05;0;7350098.9;54624215.05;127605883.7;107286832;2875409;537864;-4667624
46;0;3723117;3692818;699299;340239;8641;350419;4422416;3009021;720;1412675;75976;1413395;701578;639034.1503;-5186;480766.1503;0;63.90384;480702.2465;475516.2465;130602;0.279439725;840.84;344914.2465;41349.442;125274.5695;344914.2465;1341269.48;2551.06;657.33;158268;-713376
47;1;1807535211;1587412817;1145748956;26470606;757686943;287396303;2953284167;2068451844;484488403;400343920;29868328;884832323;300307583;51336675.32;-533986979;-46947370.68;102751008;31994473.95;23809163.37;-510177815.6;-183686569;0.171864845;355494155;-326491246.6;9771474.302;-7297875.087;-326491246.6;784717751.3;1071905778;433073493;98284046;745405036
48;0;66191;60556;49613;49613;0;-13911;115804;25245.272;48661;41897.728;-167181;90558.728;49849;290461.72;0;290461.72;0.08;1318.788;289143.012;289143.012;0.39;0.04699756;12211;289142.622;-2935.221;31119.2322;289142.622;340473;340473;162.28;0;7715.272
49;0;6596128;5396128;136183068;2888843;24682612;10527788;142779196;72044803;10205883;60528510;50000722;70734393;18202166;329475837;-137332;329338119;0.54927;336795.233;329001324.3;328863992.3;0.57363;0.043689744;3147619;328863991.7;2474030.18;29502680.31;328863991.7;371102897;371102897;23424894;137718;75654558
50;1;3807761118;1581910921;548030104;20191009;73949627;453889468;4355791222;5264051;3567472758;783054413;0;4350527171;250489792;-36571024.63;3970786;-131807666.6;2208618995;161131665.6;1915679663;1919650449;147482712;976555549;976555549;1772167737;7716120.956;10106141.43;1772167737;485872184.4;853633291;271953417;95236642;-235024309
51;0;422881;122375;24774640;530501;24075483;168656;25197521;4329993.645;0;20867527.36;3190298;20867527.36;1960261;15382765;0;15368643;0.00484;0;15368643;15368643;24971;0;0;15343672;27322.272;195762.545;15343672;17796595;17796595;453569;14122;3907112.645
52;0;1917849;1890911;453798;22446;0;431352;2371647;818414;708382;844851;0;1553233;366918;492696.48;0;492696.48;0;0;492696.48;492696.48;0;0;0;492696.48;91446.624;19253.8417;492696.48;953160.48;486247;93546;0;-391053
53;0;109490654;18000851;633630168;72670215;102577303;65688773;743120822;5707038;0;737413784;106728249;737413784;182723141;1204917454;0.30307;1201531971;1805799;0;1203337770;1203337770;1473966;0;0;1201863804;6634566.073;-2135797.873;1201863804;1525569909;1525569909;137929314;3385483;-103783616
54;0;235747093;138102887;73570532;18119118;0;0;309317625;307144915;9;2172701;127271;2172710;3616421;8194385;0;5303508;1101844;0;6405352;6405352;4010575;0;0;2394777;0;1249277.856;2394777;13013311;22651163;1202505;2890877;71397831
55;0;2604493;2604493;3755403;1136965;0;314414;6359896;1844369.84;30;4515496.16;7357;4515526.16;51363;-101454;2193;-222230;16933;0;-205297;-203104;-25138;0;0;-177966;68856.666;1949.6061;-177966;69381;456054;119472;120776;-760093.16
56;0;706717;482008;1907241;214383;886958;176749;2613958;1737.18;97067;2515153.82;526533;2612220.82;1432433;2570360;-64496;2515509;0.875;14.0535;2515495.822;2450999.822;62.16;0.099874509;173.5;2450937.662;24568.111;14621.394;2450937.662;5041860;5418.07;1039067;54851;-607912.82
57;0;10098707;8271231;2534620;1527941;48858;957821;12633327;10640983;35733;1956611;26.9;1992344;547709;-2205374;0.349;-2747425;74518;6528.712;-2679435.712;-2679435.363;-534626;0.005289173;56282;-2144809.363;126432.372;22806.288;-2144809.363;232480;5839.71;1890145;542051;578009
58;0;2269975;797841;2098515;2004819;0;0;4368490;3764043;45632;558815;555.99;604447;53521;117916;-0.477;78924;13.73;0;78937.73;78937.253;46572;0;0;32365.253;0;360.0177;32365.253;171437;278479;0;38992;1539700
59;0;593143588;339848674;178876278;19054396;0;20889;772019866;715315045;415428;56289393;962521;56704821;12056688;-21521546;0;-30681665;32098461;401500.077;1015295.923;1015295.923;880302;0.054494296;3898059;134993.923;2297.79;570984.174;134993.923;10573781;75901215;20038639;9160119;122586885
60;0;4722.48;4722.48;3780.62;1179;1162.34;1032.58;8503.1;5349.76;2115.38;1037.96;5.43;3153.34;205.58;167.65;0;30.62;0;213.69816;-183.07816;-183.07816;-118.72;0.384090127;2054.79;-64.35816;169.34312;26.034714;-64.35816;415.89;912.37;42.66;137.03;2742.66
61;0;2086105;2047847;2404229.67;2069287;8.67;334934;4490334.67;2380855;1181016;928463.67;53355;2109479.67;731844;1315836;-4626;1062967;0.005;60523.995;1002443.01;997817.01;169036;0.620027259;1476195;828781.01;40861.948;48740.3348;828781.01;2592571;2592571;544891;252869;1475766
62;0;32308938;0;313750624;161804657;0;151945967;346059562;50834935;0;295224627;2104936;295224627;2595745;20388482.4;0;20388482.4;0.10192;0;20388482.5;20388482.5;1898738;0;0;18489744.5;28413895.83;1825852.758;18489744.5;34646162.4;22213292;11661935;0;18525997
63;0;5270044;4247.91;1451429;44784;134058;330639;6721473;3074731;2217354;1429388;-3329;3646742;967619;3293182.08;-160504;3292493.919;32829;304.4085;3325018.51;3164514.51;15264;0.900029954;2767.35;3149250.51;51249.045;251641.6036;3149250.51;5948974.08;3498253;1688173;688.16142;22041
64;0;522039353;117348684;462296897;17642933;0;2183881;984336250;940715685;35807535;7813030;5629149;43620565;12732659;16288231;0;8205473;104553;0;8310026;8310026;11028943;0;0;-2718917;340685.436;2092026.076;-2718917;29465156;600;444266;8082758;454483867
65;0;860467984;81280802;1403678107;248096827;610418655;6688853;2264146091;2107054544;1.89;157091545.1;90014017;157091547;227652675;1156085926;647125;1117654039;15524177;0;1133178216;1133825341;4224691;0;0;1129600650;1070216.48;53845388.5;1129600650;1771229885;1771229885;387491284;38431887;1246586562
66;0;874059251;527016903;546684156;80374869;35369231;6354862;1420743407;1267845095;20588273;132310039;63818499;152898312;207661268;464884988;-58491927;452655161;6252241;1801896.39;457105505.6;398613578.6;0;0.013535501;17160918;398613578.6;1156584.884;35532141.38;398613578.6;700831191;700831191;28284935;12229827;414374117
67;1;81196588;0.80832;121260876;120746;92366569;28773561;202457464;73105264;64565591;64786609;18251182;129352200;183486;-1698780.69;-469809;-1698780.932;0;117756.386;-1816537.318;-2286346.318;0;0.012020735;878779;-2286346.318;4028298.54;-460331.8163;-2286346.318;17176560.31;2960845;18691855;0.24168768;56474267
68;0;5461.62;5408.97;8979847;460.43;1752.45;52944;8985308.62;1500546.54;200.14;7484561.94;940.8;7484762.08;1180.83;485333.16;-1.66;485000.6;0.008;57.0321;484943.5759;484941.9159;71.37;0.055251237;704.1;484870.5459;8100.432;-7507.816932;484870.5459;487520.58;9639.97;1006.59;332.56;1495285.06
69;0;46052595;46052595;121048869;404857;0;0;167101464;166383751;0;717713;717713;717713;396951;-2415888;0;-3423116;2231794;0;-1191322;-1191322;-1364818;0;0;173496;0;-14186.7648;173496;909408;75.6;2928345;1007228;120331156
70;0;4406401;1164997;79193342;64730825;775168;361612;83599743;59402692;1480656;22716395;17896127;24197051;9832211;82175095;-0.40262;82172424;0.61765;319491.676;81852932.94;81852932.54;3377687;0.045196672;2684804;78475245.54;50625.68;-1860378.458;78475245.54;110736813;110736813;18729507;2671;56476947
71;0;2334991;158896;181665976;16950907;4467963;109556;184000967;145310632;0;38690335;38580779;38690335;3316864;178250491;-0.24064;178199326.5;0.10107;0;178199326.6;178199326.3;277198;0;0;177922128.3;22458.98;2273443.354;177922128.3;241855676;241855676;60288321;51164.512;142975641
72;0;8041774;5618955;2077318;1937535;13319;817.02;10119092;6616752;2154079;1348261;531243;3502340;691.4;-533981.8;-24956;-1049373.8;1598;0;-1047775.8;-1072731.8;-509993;0;0;-562738.8;177.29334;49727.73492;-562738.8;952638.6;5482767;1485929;515392;729057
73;0;2006538;1995309;2792194;2407.86;12513;758022;4798732;3347963;179104;1271665;513641;1450769;722005;-2263808;-1521;-2485772;1854;0;-2483918;-2485439;-700976;0;0;-1784463;134927.916;11949.8995;-1784463;221705;6070123;1763508;221964;1520529
74;0;2550097;118321;982126;17007;629859;30.37;3532223;1564473;1046.45;1966703.55;478.5;1967750;73133;603385.93;0.549;592442.93;0;42.09614;592400.8339;592401.3829;0;0.625757044;978.98;592401.3829;4.31254;83793.29748;592401.3829;1008342.93;1776.13;331824;10943;-984577.55
75;0;143941;136974;58092;40.65;15442;11.73;202033;182643;6;19384;1659;19390;32372;266555;0.588;259871;0.07;0;259871.07;259871.658;10.6;0;0;259861.058;1.74777;-2522.223;259861.058;382155;382155;83228;6684;38708
76;0;336176806;326673581;27011472;2315948;7315065;17380459;363188278;34387207;261937142;66863929;9470644;328801071;1316109;45009473;0.46265;35036442;0;22628962.71;12407479.29;12407479.75;444186;286442566;286442566;11963293.75;2224698.752;-485317.0132;11963293.75;71370149;71370149;25044567;9973031;-39852457
77;0;18278.7;0;1050.91;63.6;0;0;19329.61;13046.72;5885;397.89;385.9533;6282.89;194.96;-170.11;0;-170.11;10.64;373.23728;-532.70728;-532.70728;-59.62;0.275074501;3588.82;-473.08728;0;9.403067;-473.08728;106.49;660.83;81.64;0;653.02
78;0;4062639;2378248;3840733;19819;1186024;135973;7903372;1604384.516;1140663;5158324.484;992368;6298987.484;273553;-168796.4;-8678;-538823.4;76838;47469.456;-509454.856;-518132.856;-8796;0.156018067;879064;-509336.856;26106.816;-1862.83296;-509336.856;105244.8;1354907;488.2;370027;-1317591.484
79;0;15163577;15163577;26884250;14728452;0;12155798;42047827;15974863;1741166;24331798;0.69536;26072964;1057509;-205051;486178;-916816;0;0;-916816;-430638;-356524;0;0;-74114;2783677.742;-11167.1998;-74114;852458;2967476;0;711765;2552452
80;0;282.36;197.58;1338.62;407.93;91.16;35.26;1620.98;1326.83;21.4;272.75;237.51;294.15;280.55;1746.02;-0.86;1727.2;7.97;1.6264;1733.5436;1732.6836;10.79;0.016128668;21.4;1721.8936;6.13524;162.152352;1721.8936;2434.72;2434.72;408.15;18.82;1065.87
81;0;73813531;73813531;68310803;0;492727;6142128;142124334;43639482;32913627;65571225;38066895;98484852;82560921;122614038.6;-93985;110254079.6;0;1597413.496;108656666.1;108562681.1;2792401;0.63111684;27541612;105770280.1;841471.536;-1641403.104;105770280.1;205175388;205175388;428.38;12359959;2739578
82;0;70898932;2020931;386420588;237990632;65836538;0;457319520;368460331;5.6;88859183.4;88299189;88859189;14107685;-42865961;0;-43710060;2080045;0;-41630015;-41630015;-12576964;0;0;-29053051;0;-8350.2036;-29053051;3092668;412642541;31850944;844099;297561404.6
83;0;29452134;197577;2530003;57156;1496372;0;31982137;18444829;8046328;5490980;549098;13537308;1784426;5399277;0;5354229.444;0.00023;0;5354229.444;5354229.444;279381;0;0;5074848.444;0;-212415.372;5074848.444;11481912;11481912;4298209;45047.556;-2960977
84;0;5551059;1943509;25865963;0;2292356;8498918;31417022;18709777;2696147;10011098;151218;12707245;5085549;18362014.32;0.34609;18144735.32;0.01777;291183.876;17853551.46;17853551.81;0.41662;0.144103642;2696147;17853551.39;1997245.73;857223.5762;17853551.39;36017797.32;26749065;12570234;217279;15854865
85;0;146948032;12214516;190689941;19824154;3119667;65875;337637973;27962769;18675298;290999906;29733179;309675204;30876963;173385808.3;1063933;167053456.3;0.00146;2862578.124;164190878.2;165254811.2;-0.1424;0.096576466;27005454;165254811.3;6719.25;32748467.98;165254811.3;352134064.3;235283796;147871293;6332352;-100309965
86;0;112958;74224;341645;18233;229415;93997;454603;263972;23197;167434;69345;190631;72292;488703.48;-16351;458115.48;0.001;1229.441;456886.04;440535.04;1087;0.087876745;23197;439448.04;10715.658;49547.0726;439448.04;561122;561122;126.52;30588;174211
87;0;73527516;73527516;117950565;4284046;66132487;11279371;191478081;91253824;2431614;97792643;28458756;100224257;14659819;192794064;-341066;185458759;0;265729.024;185193030;184851964;139107;0.661812923;6039296;184712857;2154359.861;-1530571.562;184712857;235472548;235472548;28018665;7335305;20157922
88;0;9358710358;8674423869;7307058819;5345943229;1961076625;38965.16;16665769177;1032759233;4147730223;11485279721;1198416434;15633009944;278704531;7418407655;-41917.59;7375882580;2215340937;239911531.2;9351311986;9351270068;-378468974;0.207412064;2142067243;9729739042;6702.00752;87694443.17;9729739042;9636751997;9636751997;1939639811;42525075;-4178220902
89;0;29693199;1820229;20771531;3638395;1251487;4306636;50464730;43153503;785871;6525356;1799434;7311227;1819834;11544659;-104887;11334131;5794242;23480.016;17104892.98;17000005.98;626773;0.009716152;419286;16373232.98;529716.228;458455.3974;16373232.98;15593721;15593721;2229228;210528;14246175
90;0;48657853;2365458;164057345;5080505;97313321;13334505;212715198;117903458;16846726;77965014;63794679;94811740;14384062;123255528;-0.24192;122833432;0.47271;1114001.028;121719431.4;121719431.2;0;0.149974872;17682556;121719431.2;2253531.345;-3637921.515;121719431.2;205532289;205532289;67892699;422096;86092331
91;0;284575402;227529419;8643910;1531789;820673;6291448;293219312;18666411;267224836;7328065;904157;274552901;3295265;19781238;0.00141;16093244;0.00149;2307259.015;13785984.99;13785984.99;3407802;24286937;24286937;10378182.99;855636.928;-433838.2564;10378182.99;23076503;29667033;0;3687994;1315845
92;0;585658;470776;1155720;322104;759042;74574;1741378;1149062;442086;150230;18333;592316;275202;1400697;-0.5;1363525;0;36048.56;1327476.44;1327475.94;14.74;0.392152034;450607;1327461.2;14318.208;148286.2155;1327461.2;2050985;2050985;375086;37172;1005490
93;0;388209;387218;355962;14802;53689;0;744171;403892;126989;213290;128591;340279;193;718770;0.3;671096;0;22438.928;648657.072;648657.372;6472;0.524281244;211688;642185.372;0;17694.903;642185.372;719305;719305;342;47674;142672
94;0;6123688;5849813;7095401;650297;0;0;13219089;1089905;2270513;9858671;0.49526;12129184;219852;914509;0;590156;0.00137;122567.727;467588.2744;467588.2744;0.95761;0.197293434;2150311;467587.3168;0;91996.6771;467587.3168;1134361;1134361;0;324353;-2763270
95;0;282411868;105599.64;152219603;1208.14;37757022;88129.83;434631471;106156.07;193083.66;434332231.3;22466.82;434525314.9;128132.62;108803506;92.98;108778478.9;310003;4839.92368;109083641.9;109083734.9;1601888;0.393039041;41723.48;107481846.9;21679.93818;11988937.43;107481846.9;189398695.6;418481.13;80467057;25027.11468;-282112628.3
96;0;1494392;1414.98;336185;172549;0.258;513.76;1830577;1154738;85.53;675753.47;1621;675839;1006492;1107832;-29.09;1107549.004;0.285;10.58346;1107538.706;1107509.616;104491;0.113151208;130.66;1003018.616;95.0456;156176.0535;1003018.616;2273305;2273305;158981;282.996;-339568.47
97;0;1530153888;1281626013;731868238;10605828;29308501;41426207;2262022126;1784803973;72461197;404756956;363330749;477218153;235197611;1049982476;-1480234;1007385501;5377767;8550421.246;1004212847;1002732613;11364029;0.040598967;72461197;991368583.8;7746700.709;58692097.14;991368583.8;1653298511;1653298511;368118424;42596975;327111282
98;0;14976055;0;3753378;1409229;0;0;18729433;18729433;0;0;0;0;119777;73063.97;0;73063.97;760342;0;833405.97;833405.97;188889;0;0;644516.97;0;13633.85658;644516.97;192840.97;0;0;0;3753378
