KEY;target;NON_CURRENT_ASSETS;tangible_fixed_assets;CURRENT_ASSETS;cash_other_liquid_assets;STOCKS;debtors_other_short_term;TOTAL_ASSETS;net_worth;NON_CURRENT_LIABILITIES;CURRENT_LIABILITIES;SUPPLIERS;TOTAL_LIABILITIES;OTHER_OPERATION_EXPENSES;ORDINARY_EBITDA;Non_Ordinary_Result;NET_OPERATION_RESULT;FINANCIAL_INCOMES;FINANCIAL_EXPENSES;FINANCIAL_RESULTS;BENEFITS_BEFORE_TAXES;COMPANIES_TAX;BANK_INDEBTEDNESS;GROSS_FINANCIAL_DEBT;Net_result;CLIENT_COLLECTING;REVENUES_VARIATION;Exercise_result;Income;other_operation_incomes;personnel_expenses;depreciation_provision;ROLLING_FUND
10672;0;3872;3.1;10591;-22624;0;33215;14463;824.5744;0;13638.4256;6957;13638.4256;65947;186476.16;0.25;186475.1215;0;135.185;186339.9365;186340.1865;1.35;0.02607421;1423;186338.8365;3554.005;4179.472128;186338.8365;386988.16;224.17;134565;1.0385;-3047.4256
10673;0;1446714;1023758;10798371;9381532;12181;1404658;12245085;3066114;0;9178971;6506771;9178971;8848756;10660946.1;0;10395039.1;0;0;10395039.1;10395039.1;454526;0;0;9940513.1;235982.544;-60361.26149;9940513.1;20814228.1;17340793;1304526;265907;1619400
10674;0;4231971;1680732;3895651;643335;215717;934963;8127622;3478786;2369.63;4646466.37;1009862;4648836;3095948;4484240;-101662;4165517;0.162;56915.298;4108601.864;4006939.864;51569;0.39904093;1388178;3955370.864;104715.856;798615.1175;3955370.864;11490865;10323688;3910677;318723;-750815.37
10675;0;178265289;0;42096619;647527;0;41449092;220361908;122632099;14919311;82810498;14.17;97729809;618611;2033629;1.26;2033629;179292;2375825.192;-162904.192;-162902.932;0;0.186284612;22844473;-162902.932;4435052.844;205070.1068;-162902.932;3429266;6220.54;777026;0;-40713879
10676;0;2406059;88341;3214061;216813;1381;586955;5620120;1483289;3075.93;4133755.07;331617;4136831;671981;1950690.75;-71816;1950141.75;0.983;6404.67;1943738.063;1871922.063;6541;0.09595298;142326;1865381.063;106238.855;170978.9074;1865381.063;3676965.75;3426975;1054294;549;-919694.07
10677;0;58034048;3194243;323115026;47820789;37204529;0;381149074;319047163;0;62101911;62101911;62101911;82280635;144878406.6;-0.97757;144006378.3;2938521;0;146944899.3;146944898.3;8216169;0;0;138728729.3;0;6871187.704;138728729.3;309512959.6;49606655;82353918;872028.339;261013115
10678;0;0;0;3;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
10679;0;3028.94;197.97;1176358;48.61;99.5;660.54;1179386.94;344380.9865;589.85;834416.1035;0;835005.9535;665.42;2282.413;0;2141.893;0.468;124.39608;2017.96492;2017.96492;29.85;0.453227212;1072.38;1988.11492;75.30156;438.9800961;1988.11492;4684.953;2837.21;1737.12;140.52;341941.8965
10680;0;135830;123569;125425;68633;29141;22980;261255;123581;12377;125297;101779;137674;50979;431888;2516;431888;612;154.829;432345.171;434861.171;4538;0.01170892;1447;430323.171;3332.1;-9590.3169;430323.171;588363;588363;105496;0;128
10681;0;2632.71;480.94;6325188;300553;3160732;529964;6327820.71;819722;544996;4963102.71;4942082;5508098.71;3036348;22725362;0.738;22725254.27;18703;43583.28667;22700373.98;22700374.72;76.24;566016.71;566016.71;22700298.48;126661.396;-173798.406;22700298.48;28966401;28966401;3204691;107.73056;1362085.29
10682;0;426576;18096;746887;225435;0;63399;1173463;265905;360956;546602;450847;907558;271553;884277.1;0.744;884276.858;0;16618.249;867658.609;867659.353;136387;0.573366428;152461;731272.353;12869.997;59487.24864;731272.353;1549147.1;1257027;393317;0.242;200285
10683;0;195295001;600131;278044871;650704;0;7220727;473339872;388837405;3255381;81247086;90429;84502467;567006;385768.6444;-128463;385768.6444;37695;0;423463.6444;295000.6444;106084;0;0;188916.6444;1068667.596;16964.74344;188916.6444;953075.4744;6211.62;300.83;0;196797785
10684;0;51.99;27.38;5338.22;1221.58;0;0;5390.21;1636.53;356.41;3397.27;3193.4338;3753.68;2019.08;5893.32;-0.48;5888.03;0.15;31.98992;5856.19008;5855.71008;123.27;0.287461886;470.44;5732.44008;0;932.76909;5732.44008;9421.91;9421.91;1509.51;5.29;1940.95
10685;0;314811926;615464;10016368;9741483;0;0;324828294;324748676;0;79618;0.79618;79618;102529;151755.352;0;151755.352;3569397;0;3721152.352;3721152.352;-1018712;0;0;4739864.352;0;21818.31812;4739864.352;254292.752;0;8.4;0;9936750
10686;0;18246099;16556989;64274997;37998302;23526778;2749917;82521096;10150265;2991357;69379474;39633745;72370831;33741687;198788186.5;0.91904;195270220.5;0.46087;182472.777;195087748.2;195087749.1;1559164;0.029470728;2991357;193528585.1;500484.894;-1083094.422;193528585.1;349385297.5;244056933;116855424;3517966;-5104477
10687;0;341092881;1619693;578536701;769489;0;0;919629582;88485079;0;831144503;34778792;831144503;6587208;139050202;-0.664;138817643;11661773;0;150479416;150479415.3;2812949;0;0;147666466.3;0;1179555.901;147666466.3;166134634;233350651;20497224;232559;-252607802
10688;0;5386557;5386557;5355355.44;5355347;3.44;5;10741912.44;2159123.395;170.34;8582618.705;410.91;8582789.045;2082618;-873419.46;-158.23;-873419.46;18342;0;-855077.46;-855235.69;-671;0;0;-854564.69;0.895;100651.6565;-854564.69;1211211.27;8134.88;2012.73;0;-3227263.265
10689;0;2862042;2803042;1774283;206688;586892;224596;4636325;3323416;306359;1006550;444.49;1312909;806571;5512661;-28839;5088507;0.095;40966.204;5047540.891;5018701.891;9392;0.162191251;539029;5009309.891;49186.524;243398.8025;5009309.891;7096175;7096175;776943;424154;767733
10690;0;32587344;27838447;118753711;4270865;0;5444637;151341055;648081;222918;150470056;68418081;150692974;12666664;340455023;0;334926229;2174076;560129.355;336540175.6;336540175.6;3587773;0.192064248;12447319;332952402.6;1067148.852;23926498.6;332952402.6;379183813;379183813;26062126;5528794;-31716345
